combination_id,data_sensitivity,access_level,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,risk_label
SC-0000,4,2,1,0,6,3,0,Critical
SC-0001,4,2,0,0,5,3,0,High
SC-0002,5,1,0,1,5,3,0,High
SC-0003,4,1,1,0,5,3,0,High
SC-0004,4,2,0,0,4,2,0,High
SC-0005,4,2,0,0,5,3,0,High
SC-0006,3,0,0,0,5,3,0,Medium
SC-0007,3,2,0,0,5,3,0,High
SC-0008,3,0,0,0,5,3,0,Medium
SC-0009,4,2,0,1,5,3,0,High
SC-0010,4,0,0,0,7,5,0,High
SC-0011,4,2,0,0,6,3,0,High
SC-0012,5,1,0,1,5,3,1,Critical
SC-0013,3,2,1,0,2,2,0,High
SC-0014,4,2,1,0,7,4,0,Critical
SC-0015,5,3,0,1,3,2,1,Critical
SC-0016,4,2,0,0,6,4,1,Critical
SC-0017,5,2,0,0,7,5,0,Critical
SC-0018,4,2,0,0,5,3,1,High
SC-0019,5,3,1,1,2,2,0,Critical
SC-0020,3,2,1,0,6,4,0,High
SC-0021,1,0,0,0,3,1,0,Low
SC-0022,1,0,0,0,2,1,0,Low
SC-0023,1,0,0,0,5,1,0,Low
SC-0024,1,0,0,0,4,1,0,Low
SC-0025,4,2,0,0,6,4,0,High
SC-0027,5,1,0,0,5,3,1,High
SC-0028,4,2,0,0,5,3,0,High
SC-0029,4,1,0,0,2,2,1,Medium
SC-0030,4,1,0,0,5,3,1,High
SC-0031,5,1,0,0,5,3,1,High
SC-0032,4,2,1,0,5,3,0,High
SC-0033,5,2,0,1,8,5,1,Critical
SC-0034,4,2,0,0,5,3,0,High
SC-0035,4,1,1,0,6,3,0,High
SC-0036,3,1,0,0,5,3,0,Medium
SC-0037,5,2,0,0,5,3,0,Critical
SC-0038,4,1,0,0,5,3,0,High
SC-0039,4,2,1,0,3,3,0,High
SC-0040,5,3,0,1,5,3,1,Critical
SC-0041,5,1,1,0,5,3,1,Critical
SC-0042,5,1,0,0,5,2,0,High
SC-0043,4,2,0,0,6,4,0,High
SC-0044,3,0,1,0,5,3,0,Medium
SC-0045,5,3,0,1,4,2,0,Critical
SC-0046,5,1,0,1,6,4,1,Critical
SC-0047,4,2,0,1,5,3,0,High
SC-0048,2,0,0,0,5,3,0,Medium
SC-0049,5,1,0,0,6,4,0,High
SC-0050,5,2,1,1,3,3,1,Critical
SC-0051,5,2,1,1,3,3,1,Critical
SC-0052,5,1,1,1,2,2,1,Critical
SC-0053,5,2,1,0,1,1,1,High
SC-0054,4,2,1,0,1,1,1,High
SC-0055,5,2,1,1,4,3,1,Critical
SC-0056,5,1,1,1,3,2,1,Critical
SC-0057,5,2,1,0,2,1,1,High
SC-0058,5,1,1,0,2,1,1,High
SC-0059,5,3,1,1,3,1,0,Critical
SC-0060,3,3,1,1,2,2,0,Critical
SC-0061,5,3,1,1,4,1,0,Critical
SC-0062,5,3,1,1,2,2,1,Critical
SC-0063,4,2,1,0,3,3,1,Critical
SC-0064,5,0,1,1,4,4,1,Critical
SC-0065,4,2,1,1,3,3,1,Critical
SC-0066,5,2,1,0,3,3,1,Critical
SC-0067,4,0,1,0,4,1,0,Medium
SC-0068,5,2,1,1,6,6,1,Critical
SC-0069,5,3,1,1,4,4,1,Critical
SC-0070,5,2,1,1,6,6,1,Critical
SC-0071,5,2,1,1,2,2,1,Critical
SC-0072,5,1,1,0,3,2,1,High
SC-0073,5,1,1,0,3,1,1,High
SC-0074,5,1,1,1,4,3,1,Critical
SC-0075,5,2,1,1,4,4,1,Critical
SC-0076,5,0,1,1,3,3,1,Critical
SC-0077,4,2,0,0,3,3,0,High
SC-0078,4,2,0,0,2,2,0,Medium
SC-0079,3,0,0,0,2,2,0,Low
SC-0080,5,2,1,1,4,4,1,Critical
SC-0081,4,2,1,0,3,3,1,Critical
SC-0082,5,0,1,0,2,2,1,High
SC-0083,5,2,0,0,3,3,1,Critical
SC-0084,5,2,0,1,3,3,1,Critical
SC-0085,5,2,1,0,4,4,1,Critical
SC-0086,5,2,0,0,4,3,1,Critical
SC-0087,4,2,0,0,2,2,0,Medium
SC-0088,3,2,0,0,2,2,0,Medium
SC-0089,5,2,0,1,2,2,0,High
SC-0090,4,1,0,0,2,2,1,Medium
SC-0091,3,2,1,0,2,2,0,High
SC-0092,4,2,1,0,2,2,1,High
SC-0093,4,2,0,1,4,3,0,High
SC-0094,5,2,0,0,3,3,1,Critical
SC-0095,4,2,0,0,3,2,0,High
SC-0096,4,2,0,0,2,2,1,High
SC-0097,1,0,0,0,3,1,0,Low
SC-0098,1,0,0,0,4,1,0,Low
